City,Lat,Lon,Maximum Temp,Humidity,Cloudiness,Wind,Country,Date
ushuaia,-54.8,-68.3,51.8,76,40,18.41,AR,1612657769
husavik,66.0449,-17.3389,32.0,74,75,3.44,IS,1612657742
saint-philippe,-21.3585,55.7679,78.8,73,75,6.91,RE,1612657769
rikitea,-23.1203,-134.9692,78.67,69,100,9.84,PF,1612657769
pitimbu,-7.4706,-34.8086,78.8,83,20,4.61,BR,1612657770
hithadhoo,-0.6,73.0833,81.75,74,22,13.33,MV,1612657770
punta arenas,-53.15,-70.9167,53.6,62,0,18.41,CL,1612657770
ferrol,43.4832,-8.2369,46.99,100,20,6.91,ES,1612657505
obo,5.3998,26.4869,65.53,26,74,5.91,CF,1612657770
kudahuvadhoo,2.6708,72.8944,81.14,77,27,14.12,MV,1612657770
richards bay,-28.783,32.0377,72.46,87,65,7.56,ZA,1612657689
tasiilaq,65.6145,-37.6368,33.8,55,75,28.77,GL,1612657770
wufeng,27.45,104.8333,38.35,92,98,4.12,CN,1612657770
sao francisco de paula,-29.4481,-50.5836,61.0,91,49,1.16,BR,1612657771
baykit,61.67,96.37,17.71,94,100,5.79,RU,1612657771
winnemucca,40.973,-117.7357,55.4,26,1,8.05,US,1612657771
bluff,-46.6,168.3333,61.34,68,2,6.4,NZ,1612657771
taman,45.2117,36.7161,28.0,93,100,13.42,RU,1612657771
barrow,71.2906,-156.7887,-5.8,77,1,14.97,US,1612657572
lavrentiya,65.5833,-171.0,-8.01,79,0,1.34,RU,1612657771
castro,-24.7911,-50.0119,61.12,92,0,10.29,BR,1612657771
mayumba,-3.432,10.6554,79.09,82,95,1.63,GA,1612657771
yavaros,26.7,-109.5167,71.17,37,2,10.92,MX,1612657772
mahebourg,-20.4081,57.7,77.0,83,40,4.61,MU,1612657772
lompoc,34.6391,-120.4579,64.0,67,1,9.22,US,1612657592
hobart,-42.8794,147.3294,68.0,67,75,16.11,AU,1612657765
uglegorsk,49.0833,142.0333,0.03,92,95,7.2,RU,1612657772
mataura,-46.1927,168.8643,77.25,50,0,2.44,NZ,1612657537
hilo,19.7297,-155.09,78.8,47,40,9.22,US,1612657539
stepnyak,52.8339,70.7803,26.1,95,100,30.78,KZ,1612657772
tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,21.85,CA,1612657773
khatanga,71.9667,102.5,-35.07,78,0,8.34,RU,1612657773
asfi,32.2994,-9.2372,55.89,70,46,6.98,MA,1612657773
thunder bay,48.4001,-89.3168,-5.8,59,90,19.57,CA,1612657584
nikolskoye,59.7035,30.7861,10.4,79,40,15.66,RU,1612657773
cape town,-33.9258,18.4232,70.0,88,20,9.22,ZA,1612657773
jalaun,26.1451,79.3366,49.91,64,0,5.64,IN,1612657773
atuona,-9.8,-139.0333,80.28,76,83,19.39,PF,1612657773
puerto ayora,-0.7393,-90.3518,78.01,93,62,3.0,EC,1612657773
morehead,37.2711,-87.1764,41.0,56,90,3.44,US,1612657773
sitka,57.0531,-135.33,35.6,60,40,11.5,US,1612657774
port elizabeth,-33.918,25.5701,69.8,78,0,19.57,ZA,1612657774
saskylakh,71.9167,114.0833,-39.57,78,83,7.36,RU,1612657774
new norfolk,-42.7826,147.0587,68.0,55,63,3.0,AU,1612657529
ushtobe,45.2514,77.9838,37.49,77,100,14.18,KZ,1612657747
busselton,-33.65,115.3333,60.01,97,100,3.0,AU,1612657774
hermanus,-34.4187,19.2345,68.0,90,80,2.91,ZA,1612657734
ilulissat,69.2167,-51.1,26.6,33,7,26.46,GL,1612657774
carnarvon,-24.8667,113.6333,82.4,100,75,14.97,AU,1612657774
albany,42.6001,-73.9662,28.0,41,5,4.88,US,1612657599
svetlaya,46.5389,138.3297,5.43,85,69,8.1,RU,1612657775
santa lucia,27.9117,-15.5407,60.8,67,40,13.8,ES,1612657775
lowestoft,52.4752,1.7516,39.0,91,100,10.0,GB,1612657775
east london,-33.0153,27.9116,74.23,92,6,10.96,ZA,1612657775
avarua,-21.2078,-159.775,86.0,70,69,11.5,CK,1612657537
bukama,-9.2,25.85,70.7,95,100,1.61,CD,1612657589
yellowknife,62.456,-114.3525,-36.4,67,1,2.3,CA,1612657775
iqaluit,63.7506,-68.5145,26.6,74,90,13.8,CA,1612657569
karratha,-20.7377,116.8463,80.42,58,13,8.93,AU,1612657480
finschhafen,-6.6024,147.8681,83.21,74,100,1.77,PG,1612657776
vaini,-21.2,-175.2,84.2,84,75,12.66,TO,1612657581
dikson,73.5069,80.5464,-27.67,87,91,9.4,RU,1612657578
luderitz,-26.6481,15.1594,69.22,61,0,21.54,NA,1612657776
sakakah,29.9697,40.2064,46.4,66,0,11.5,SA,1612657750
maragogi,-9.0122,-35.2225,78.62,82,71,11.1,BR,1612657776
ponta do sol,32.6667,-17.1,54.0,68,11,1.99,PT,1612657481
padang,-0.9492,100.3543,71.6,88,20,2.3,ID,1612657776
honiara,-9.4333,159.95,78.55,86,100,6.64,SB,1612657776
milin,49.6319,14.046,32.0,99,100,1.99,CZ,1612657777
arraial do cabo,-22.9661,-42.0278,75.58,83,100,5.23,BR,1612657736
aasiaat,68.7098,-52.8699,18.03,87,9,22.79,GL,1612657777
nouadhibou,20.931,-17.0347,60.8,72,0,17.27,MR,1612657595
la romana,18.4273,-68.9728,75.2,94,20,9.08,DO,1612657777
kajaani,64.2273,27.7285,14.0,92,90,9.22,FI,1612657777
kita,13.0349,-9.4895,79.83,17,98,7.49,ML,1612657777
mar del plata,-38.0023,-57.5575,64.0,77,20,10.36,AR,1612657777
bonthe,7.5264,-12.505,78.87,80,65,6.69,SL,1612657547
port alfred,-33.5906,26.891,66.99,88,43,5.01,ZA,1612657778
geraldton,-28.7667,114.6,69.8,83,75,20.71,AU,1612657778
codrington,-38.2667,141.9667,59.52,68,99,12.03,AU,1612657778
bredasdorp,-34.5322,20.0403,69.8,68,68,5.75,ZA,1612657739
jamestown,42.097,-79.2353,17.6,53,1,6.91,US,1612657495
georgetown,5.4112,100.3354,80.01,83,20,2.3,MY,1612657632
luena,-11.7833,19.9167,63.3,97,100,5.53,AO,1612657778
duvan,55.695,57.9024,-2.42,89,100,18.1,RU,1612657778
hami,42.8,93.45,30.2,78,22,5.28,CN,1612657744
bonavista,48.6499,-53.1147,37.4,93,100,3.44,CA,1612657771
manzhouli,49.6,117.4333,-12.01,87,7,6.93,CN,1612657779
alofi,-19.0595,-169.9187,86.0,74,100,11.5,NU,1612657779
rio grande,-32.035,-52.0986,68.0,95,0,7.2,BR,1612657639
catuday,16.2923,119.8062,78.15,79,41,11.79,PH,1612657779
hukuntsi,-24.0,21.75,68.5,83,0,11.27,BW,1612657779
stornoway,58.2093,-6.3865,37.4,70,100,19.57,GB,1612657765
mokolo,10.7398,13.8019,65.53,27,27,5.57,CM,1612657780
pacific grove,36.6177,-121.9166,59.0,82,1,5.75,US,1612657746
berlevag,70.8578,29.0864,26.47,94,100,25.86,NO,1612657781
trelew,-43.249,-65.3051,58.41,67,70,21.81,AR,1612657781
fairbanks,64.8378,-147.7164,-5.01,77,90,0.56,US,1612657781
qaanaaq,77.484,-69.3632,11.03,87,99,7.23,GL,1612657733
ewo,-0.8725,14.8206,75.06,81,94,6.55,CG,1612657781
